name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
Bajaj Pulsar 150 [2001-2011],18000,2005,blanc,1st owner,21885,
Hero Xtreme 200R,87000,2019,blanc,1st owner,3200,
Hero Honda Splendor Plus,40000,2007,blanc,1st owner,40000,
Bajaj Discover 150S,35000,2015,blanc,1st owner,28000,
Honda CBR-250R,100000,2011,blanc,2nd owner,3500,
Hero Pleasure,30000,2013,blanc,1st owner,24000,
Bajaj Avenger Cruise 220,95000,2018,blanc,1st owner,1800,
Bajaj Discover 125 ST,25000,2012,blanc,1st owner,76000,
Bajaj Pulsar 150 [2001-2011],26500,2010,blanc,1st owner,52500,
Bajaj Boxer,12000,2008,blanc,1st owner,17500,
Bajaj Pulsar 150,20000,2006,blanc,1st owner,41000,
Royal Enfield Classic Signals,195000,2018,blanc,1st owner,2845,
Bajaj Pulsar 180,14900,2007,blanc,1st owner,50000,
Honda Dream Yuga,48000,2018,blanc,1st owner,7110,
Yamaha FZ S [2012-2016],40000,2014,blanc,1st owner,27785,
Honda CB Unicorn,45000,2010,blanc,1st owner,75000,
Honda Shine,25000,2010,blanc,1st owner,20000,
Honda Activa 3G,25000,2011,blanc,1st owner,20000,
Honda Activa [2000-2015],10000,2009,blanc,1st owner,60000,
Mahindra Flyte,22000,2009,blanc,3rd owner,20000,
Honda Activa 3G,45000,2015,blanc,1st owner,18000,
KTM 250 Duke,135000,2017,blanc,1st owner,16500,
Yamaha Ray Z,75000,2017,blanc,1st owner,15000,
Bajaj Pulsar 135 LS,24000,2010,blanc,1st owner,45000,
Yamaha FZ16,45000,2016,blanc,1st owner,37000,
Hero Passion PRO i3s,55000,2017,blanc,1st owner,14600,
Bajaj Discover 125,10000,2006,blanc,1st owner,51000,
Royal Enfield Classic 350,135000,2017,blanc,1st owner,15000,
Honda CB Unicorn 150,55000,2017,blanc,1st owner,12000,
Bajaj Avenger [2015],35000,2012,blanc,1st owner,15000,
Bajaj Super,20000,1988,blanc,1st owner,21000,
Bajaj Pulsar 150,26000,2012,blanc,2nd owner,65000,
Honda Activa [2000-2015],23000,2009,blanc,1st owner,95000,
Royal Enfield Classic Desert Storm,150000,2015,blanc,1st owner,23000,
Hero Honda CD Deluxe,24700,2012,blanc,2nd owner,40000,
Hero Duet,35000,2016,blanc,2nd owner,49637,
Hero Honda Passion PRO [2012],12000,2012,blanc,1st owner,90000,
Royal Enfield Classic 350,150000,2017,blanc,1st owner,7000,
Honda Activa 3G,50000,2016,blanc,1st owner,5326,
Honda Activa [2000-2015],25000,2009,blanc,1st owner,585659,
Hero Honda CD100,15000,1999,blanc,2nd owner,10000,
Hero Super Splendor,35000,2014,blanc,2nd owner,37541,
Honda CB Trigger,45000,2015,blanc,1st owner,36000,
Honda Dream Yuga,25000,2013,blanc,1st owner,29000,
Hero Honda Passion Plus,40000,2018,blanc,1st owner,29000,
TVS Spectra,17000,2008,blanc,1st owner,50000,
Hero Ignitor,30000,2016,blanc,1st owner,18000,
Hero Honda CD100,15000,2000,blanc,1st owner,50000,
Bajaj Pulsar 220F,60000,2017,blanc,2nd owner,40000,
Hero Splendor Plus,30000,2013,blanc,1st owner,20000,
Yamaha YZF R15 [2011-2018],60000,2012,blanc,1st owner,22000,
Honda Activa 3G,32000,2015,blanc,1st owner,4500,
Bajaj Discover 150,30000,2012,blanc,1st owner,50000,
Bajaj Pulsar 150 [2001-2011],55000,2010,blanc,1st owner,42000,
Bajaj Avenger Street 150 [2018],75000,2016,blanc,1st owner,35000,
TVS Star City Plus,52000,2017,blanc,1st owner,25000,
Bajaj Discover 125,38000,2018,blanc,1st owner,34000,
Bajaj Discover 135,12000,2007,blanc,1st owner,60000,
Honda CB Shine SP,47000,2017,blanc,1st owner,73000,
Honda Activa [2000-2015],22000,2014,blanc,1st owner,38000,
Bajaj Avenger [2015],65000,2015,blanc,1st owner,26000,
Bajaj Platina 100,23000,2013,blanc,2nd owner,24000,
Bajaj Discover 100,30000,2011,blanc,1st owner,45000,
Bajaj Pulsar 150,35000,2011,blanc,1st owner,36000,
Bajaj Avenger Street 150 [2018],80000,2017,blanc,1st owner,30000,
Bajaj Platina 100,20000,2012,blanc,1st owner,16295,
Bajaj Pulsar 150,16000,2011,blanc,2nd owner,59000,
Bajaj Pulsar 150,20000,2006,blanc,1st owner,9500,
Bajaj Pulsar NS200,50000,2012,blanc,1st owner,46000,
Honda CB Trigger,40000,2015,blanc,1st owner,75000,
Bajaj Pulsar 135 LS,20000,2010,blanc,1st owner,80000,
Bajaj Pulsar 180,65000,2018,blanc,1st owner,26000,
Yamaha YZF R15 S,85000,2016,blanc,1st owner,26000,
Hero Splendor Plus,12000,2007,blanc,1st owner,100000,
Hero Xpulse 200T,105000,2019,blanc,1st owner,2900,
Yamaha FZ S V 2.0,40000,2015,blanc,1st owner,25000,
Bajaj Discover 150,30000,2011,blanc,2nd owner,39500,
Honda Activa [2000-2015],25000,2012,blanc,1st owner,40000,
Hero Splendor PRO,40000,2016,blanc,1st owner,16000,
Honda Dream Neo,45000,2017,blanc,2nd owner,21000,
Bajaj CT 100,40000,2018,blanc,1st owner,14000,
Suzuki Access 125,70000,2018,blanc,1st owner,7000,
Honda Activa [2000-2015],30000,2012,blanc,1st owner,22000,
Hero Honda Pleasure,25000,2009,blanc,1st owner,50000,
Bajaj Platina 100,20000,2012,blanc,1st owner,16295,
Honda CB Hornet 160R,70000,2017,blanc,1st owner,35000,
Bajaj V15,50000,2017,blanc,1st owner,9000,
Hero Honda CD Deluxe,25000,2010,blanc,1st owner,35000,
Bajaj Pulsar 150,22000,2011,blanc,1st owner,60000,
Honda Activa [2000-2015],35000,2013,blanc,1st owner,29500,
TVS Apache RTR 160,40000,2014,blanc,2nd owner,50000,
Bajaj Pulsar 220F,75000,2016,blanc,1st owner,10500,
Hero Honda Passion PRO [2012],28000,2011,blanc,2nd owner,60000,
Hero Maestro Edge,55000,2018,blanc,1st owner,39000,
Honda Dio,30000,2014,blanc,1st owner,24000,
Hero Glamour 125,40000,2016,blanc,1st owner,15000,
Bajaj Avenger Street 160,85000,2019,blanc,1st owner,3000,
Hero Honda CD Deluxe,12000,2007,blanc,2nd owner,100000,
Yamaha YBR 125,35000,2013,blanc,1st owner,20350,
Bajaj Pulsar 150,25000,2015,blanc,2nd owner,50000,
Bajaj Pulsar 150,40000,2012,blanc,2nd owner,37000,
Hero Honda CD Deluxe,15000,2011,blanc,1st owner,70000,
Hero Passion PRO i3s,55000,2018,blanc,1st owner,15000,
Bajaj Pulsar 180,60000,2015,blanc,1st owner,28563,
Yamaha Fazer 25,115000,2018,blanc,1st owner,11000,
TVS Excel,5000,1998,blanc,1st owner,60000,
Honda Shine,40000,2015,blanc,1st owner,21121,
Honda Dream Neo,50000,2014,blanc,1st owner,25000,
Honda Dio,28000,2014,blanc,1st owner,13000,
Hero Splendor Plus,35000,2013,blanc,1st owner,55000,
Bajaj Xcd,25000,2007,blanc,2nd owner,100000,
TVS Streak,20000,2009,blanc,2nd owner,36000,
Bajaj Pulsar 180,40000,2013,blanc,1st owner,34000,
Hero Xtreme 200R,86000,2018,blanc,1st owner,12000,
Bajaj Avenger Street 150 [2018],60000,2017,blanc,1st owner,30000,
Yamaha RX135,65000,1998,blanc,3rd owner,16500,
Honda CB Shine SP,41000,2017,blanc,1st owner,33000,
Honda CBR150 R,110000,2017,blanc,1st owner,11800,
Honda Dream Yuga,32000,2017,blanc,1st owner,39000,
Honda Shine,37000,2014,blanc,1st owner,16145,
Hero Splendor Plus i3s,65000,2019,blanc,1st owner,1000,
Hero Honda Passion Plus,18000,2007,blanc,2nd owner,50000,
Hero Honda Passion PRO [2012],28700,2012,blanc,2nd owner,49876,
Honda Activa 3G,35000,2016,blanc,1st owner,51000,
Bajaj Pulsar 180F,100000,2019,blanc,1st owner,1300,
Hero Honda Glamour,21000,2010,blanc,1st owner,11000,
Bajaj Pulsar 150 [2001-2011],30000,2010,blanc,2nd owner,55000,
TVS Apache RTR 200 4V,90000,2019,blanc,1st owner,20000,
Bajaj Super,6000,1991,blanc,1st owner,35000,
Hero Honda Passion Plus,23500,2010,blanc,1st owner,60000,
Bajaj Pulsar 150,55000,2015,blanc,2nd owner,40000,
Yamaha SZ X,35000,2010,blanc,1st owner,46000,
Hero Honda CD100,15000,1998,blanc,1st owner,65000,
Bajaj Pulsar 180,35000,2009,blanc,1st owner,19000,
Bajaj Pulsar 220 DTS-i,40000,2011,blanc,1st owner,26000,
Hero Honda Achiever,15000,2009,blanc,1st owner,86000,
Hero Honda Karizma,40000,2011,blanc,2nd owner,340000,
Honda CB Unicorn 160,75000,2016,blanc,1st owner,40000,
Bajaj Avenger Cruise 220,70000,2016,blanc,1st owner,10000,
Bajaj Discover 135,22000,2007,blanc,1st owner,25000,
Yamaha FZ S V 2.0,80000,2019,blanc,1st owner,10000,
Bajaj Pulsar 150,72000,2017,blanc,1st owner,24000,
Hero HF Deluxe,30000,2014,blanc,2nd owner,35000,
Bajaj Pulsar 135 LS,25000,2011,blanc,2nd owner,30000,
Aprilia SR 125,65000,2018,blanc,1st owner,6500,
Bajaj Pulsar 150,68000,2019,blanc,1st owner,10000,
Hero Duet,27000,2016,blanc,1st owner,28000,
Honda CB Twister,25000,2015,blanc,1st owner,35000,
Bajaj Discover 125,45000,2016,blanc,1st owner,20000,
Honda CBR-250R,200000,2019,blanc,1st owner,5500,
Bajaj Pulsar 180,20100,2008,blanc,1st owner,36000,
Honda Shine,30000,2014,blanc,1st owner,25000,
Suzuki Swish [2012-2015],30000,2014,blanc,1st owner,30000,
TVS Star City,21000,2011,blanc,1st owner,101000,
Hero Super Splendor,45000,2012,blanc,1st owner,21000,
Yamaha Fazer [2009-2016],45000,2014,blanc,1st owner,57700,
TVS Scooty Pep DLX,14500,2012,blanc,1st owner,44000,
Honda Dream Yuga,47000,2019,blanc,1st owner,8800,
TVS Star City Plus,26000,2014,blanc,2nd owner,68000,
Yamaha Fazer [2009-2016],25000,2013,blanc,1st owner,120000,
Hero Honda Street Smart,10000,2000,blanc,1st owner,24000,
TVS Apache RTR 160,50000,2017,blanc,1st owner,38000,
Honda Dio,23000,2010,blanc,1st owner,40000,
Honda Activa [2000-2015],50000,2014,blanc,1st owner,48000,
Hero Maestro Edge,46000,2015,blanc,1st owner,14000,
Honda CB Hornet 160R,80000,2017,blanc,1st owner,18000,
Hero Karizma [2003-2014],50000,2013,blanc,1st owner,38000,
Honda CB Trigger,40000,2014,blanc,1st owner,75000,
Honda CB Hornet 160R,70000,2017,blanc,1st owner,35000,
Hero Glamour FI,30900,2014,blanc,1st owner,25000,
Bajaj Avenger [2015],65000,2010,blanc,1st owner,20000,
Hero Honda Splendor Plus,15000,2006,blanc,1st owner,100000,
TVS Apache RTR 160,89999,2019,blanc,1st owner,6400,
Hero Honda Splendor Plus,17600,2006,blanc,1st owner,52000,
Bajaj Platina 100,17000,2007,blanc,1st owner,16000,
Yamaha FZ25,90000,2018,blanc,1st owner,8200,
Bajaj Pulsar 150 [2001-2011],35000,2010,blanc,1st owner,60000,
Yamaha YZF R15 S,70000,2017,blanc,1st owner,16000,
Bajaj Discover 125,15000,2011,blanc,1st owner,47000,
Hero Passion PRO i3s,35000,2016,blanc,1st owner,18000,
Honda Activa [2000-2015],15000,2006,blanc,1st owner,50000,
Bajaj Discover 125,50000,2018,blanc,1st owner,6000,
Suzuki Gixxer [2014-2018],69000,2017,blanc,1st owner,20000,
TVS Wego,15000,2011,blanc,1st owner,65000,
Bajaj Discover 150,25000,2008,blanc,1st owner,25000,
Suzuki Access 125 [2007-2016],30000,2012,blanc,1st owner,23000,
Hero Karizma 2014,45000,2014,blanc,1st owner,5555,
Hero CD Deluxe,35000,2016,blanc,1st owner,38000,
Yamaha Fazer 25,120000,2018,blanc,1st owner,6000,
Hero Splendor Plus,25000,2015,blanc,1st owner,45000,
Yamaha YZF R15 [2011-2018],80000,2017,blanc,1st owner,27000,
Hero Honda Splendor Plus,10000,2007,blanc,1st owner,98000,
TVS Apache RTR 160,70000,2018,blanc,1st owner,16000,
Bajaj Pulsar 150,35000,2011,blanc,1st owner,50000,
Hero Glamour 125,40000,2015,blanc,1st owner,71250,
Hero Honda Passion Plus,20000,2006,blanc,1st owner,28000,
Honda CB Twister,30000,2012,blanc,1st owner,50000,
Bajaj CT 100,8000,2005,blanc,2nd owner,82000,
Bajaj Pulsar 220 DTS-i,65000,2013,blanc,1st owner,6409,
Hero Honda Super Splendor [2005],20000,2008,blanc,1st owner,54000,
Honda CB Trigger,45000,2013,blanc,1st owner,20000,
Hero Hunk,35000,2013,blanc,1st owner,50000,
Bajaj Discover 150,25000,2011,blanc,1st owner,52000,
TVS Apache RTR 160,15000,2009,blanc,4th owner,880000,
Hero Xtreme Sports,65000,2017,blanc,1st owner,23000,
Bajaj Avenger [2015],45000,2011,blanc,1st owner,35000,
Honda Activa 125,45000,2017,blanc,1st owner,49000,
Bajaj Pulsar 220F,50000,2011,blanc,2nd owner,55000,
Bajaj Pulsar NS200,85000,2018,blanc,2nd owner,15100,
Hero Honda Splendor,25000,2008,blanc,1st owner,38000,
Honda CB Unicorn 150,60000,2017,blanc,1st owner,12652,
Suzuki Gixxer SF Fi,100000,2019,blanc,1st owner,7000,
KTM RC 200,180000,2019,blanc,2nd owner,13800,
Bajaj Discover 100,25000,2010,blanc,2nd owner,28000,
TVS Wego,15000,2011,blanc,2nd owner,20000,
Honda CB Hornet 160R,60000,2017,blanc,2nd owner,16008,
Yamaha YZF R15 S,75000,2018,blanc,1st owner,36000,
Hero CBZ,35000,2010,blanc,1st owner,36000,
TVS Scooty Zest 110,55000,2018,blanc,1st owner,380,
Yamaha FZ S V 2.0,85000,2018,blanc,1st owner,50000,
Hero Honda Glamour,35000,2012,blanc,1st owner,30000,
Hero Honda CBZ extreme,35000,2011,blanc,1st owner,35000,
Yamaha FZ S V 2.0,60000,2017,blanc,1st owner,14500,
Suzuki Access 125,40000,2017,blanc,1st owner,15000,
Bajaj Pulsar 150,30000,2010,blanc,1st owner,54000,
Bajaj Pulsar NS160,80000,2018,blanc,1st owner,11000,
Hero Splendor PRO,24000,2011,blanc,1st owner,43000,
Honda Shine,18000,2010,blanc,1st owner,15000,
Hero Passion Pro 110,20000,2008,blanc,3rd owner,40000,
Yamaha FZ16,40000,2016,blanc,1st owner,93000,
Suzuki Access 125,20000,2012,blanc,1st owner,24000,
TVS Jupiter,70000,2018,blanc,1st owner,14000,
Hero Passion Pro 110,50000,2019,blanc,1st owner,29442,
Yamaha FZ S V 2.0,75000,2017,blanc,1st owner,20000,
Honda Livo,25000,2015,blanc,1st owner,30000,
Honda CB Hornet 160R,70000,2017,blanc,1st owner,38000,
Honda Activa 125 [2016-2017],55000,2018,blanc,1st owner,18000,
Honda Activa 5G,51000,2018,blanc,1st owner,14000,
Yamaha Saluto,74000,2019,blanc,1st owner,13000,
Yamaha FZ S V 2.0,65000,2017,blanc,1st owner,42000,
Bajaj Avenger Street 150 [2018],60000,2016,blanc,2nd owner,27000,
Bajaj Pulsar 220F,110000,2019,blanc,1st owner,4000,
TVS Apache RTR 160 4V,85009,2018,blanc,1st owner,7500,
Hero Passion Pro 110,60000,2013,blanc,1st owner,15000,
Bajaj Pulsar 150,25000,2013,blanc,2nd owner,70000,
TVS Apache RTR 160 4V,75000,2019,blanc,1st owner,12657,
Honda CB Unicorn 150,30000,2010,blanc,1st owner,69000,
Honda Activa [2000-2015],16600,2010,blanc,1st owner,100000,
Honda Activa 3G,30000,2015,blanc,1st owner,18000,
Honda Shine,20000,2007,blanc,1st owner,80000,
Honda Activa 5G,62000,2019,blanc,1st owner,11200,
Bajaj Avenger Street 220,60000,2016,blanc,1st owner,17000,
Hero Xtreme [2013-2014],45000,2014,blanc,1st owner,56420,
Yamaha FZ S [2012-2016],40000,2011,blanc,1st owner,82000,
Suzuki Intruder 150,75000,2018,blanc,1st owner,10000,
Yamaha Fazer [2009-2016],50000,2012,blanc,1st owner,100000,
Bajaj Pulsar RS 200,105000,2017,blanc,1st owner,18345,
Bajaj Discover 135,30000,2009,blanc,1st owner,20000,
Hero Honda CBZ,10000,2000,blanc,4th owner,48000,
Bajaj Pulsar 135 LS,45000,2014,blanc,1st owner,14000,
Yamaha Fazer 25,145000,2018,blanc,2nd owner,4100,
Honda CB Unicorn 150,45000,2016,blanc,2nd owner,50000,
Honda Activa 5G,65000,2019,blanc,1st owner,3025,
Bajaj Pulsar 135 LS,20000,2011,blanc,1st owner,60000,
Hero Duet,37000,2016,blanc,1st owner,6000,
Hero Splendor NXG,18000,2011,blanc,1st owner,35000,
Hero Glamour 125,25000,2013,blanc,1st owner,50000,
Honda Activa 5G,46000,2018,blanc,1st owner,10000,
Yamaha Fascino 110,55000,2019,blanc,1st owner,7000,
Bajaj V15,40000,2016,blanc,1st owner,34000,
Hero Honda Passion PRO [2012],25000,2012,blanc,2nd owner,20000,
Honda Activa [2000-2015],25000,2012,blanc,1st owner,38000,
Bajaj Xcd,15000,2008,blanc,1st owner,100000,
Bajaj Pulsar NS160,70000,2018,blanc,1st owner,20000,
Honda CB Hornet 160R,70000,2017,blanc,1st owner,240000,
Yamaha RXG,25000,1997,blanc,1st owner,45354,
TVS Streak,10000,2009,blanc,1st owner,100000,
Bajaj Pulsar RS 200,80000,2015,blanc,1st owner,32000,
Yamaha Alpha,25000,2015,blanc,2nd owner,14000,
Honda Livo,35000,2016,blanc,1st owner,70000,
Mahindra Gusto,25000,2016,blanc,1st owner,13500,
Bajaj Discover 125,26000,2012,blanc,1st owner,75000,
Hero Glamour 125,15000,2011,blanc,1st owner,75000,
Honda CB Unicorn 160,50000,2017,blanc,1st owner,52000,
Hero Pleasure,26500,2013,blanc,1st owner,18860,
Royal Enfield Classic 350,135000,2017,blanc,1st owner,2700,
Honda CB Hornet 160R,80000,2016,blanc,1st owner,100000,
Bajaj CT 100,30000,2016,blanc,1st owner,38500,
Yamaha FZ S V 2.0,90000,2018,blanc,1st owner,10500,
Bajaj Pulsar 180,85000,2016,blanc,1st owner,35000,
Hero Glamour 125,54000,2013,blanc,1st owner,17000,
Bajaj CT 100,42000,2019,blanc,1st owner,2900,
Bajaj Discover 100 T,25000,2014,blanc,1st owner,30000,
TVS Star City Plus,50000,2016,blanc,2nd owner,14000,
Honda CB Unicorn 150,55000,2014,blanc,1st owner,10000,
Hero Passion PRO TR,35000,2014,blanc,1st owner,9556,
Honda CB Shine SP,50000,2018,blanc,1st owner,37000,
Bajaj V15,45000,2015,blanc,1st owner,2700,
Bajaj V15,45000,2016,blanc,1st owner,36000,
Bajaj Discover 100,28000,2015,blanc,2nd owner,52000,
Royal Enfield Electra 4 S,80000,2013,blanc,1st owner,46000,
KTM 200 Duke,130000,2016,blanc,1st owner,12000,
Bajaj Pulsar 220F,120000,2019,blanc,1st owner,6500,
Suzuki GS150R,27000,2012,blanc,1st owner,14100,
Honda Shine,30000,2014,blanc,1st owner,40000,
Honda CB Unicorn Dazzler,50000,2010,blanc,1st owner,75000,
Honda Livo,45000,2018,blanc,1st owner,10000,
Honda Aviator,28000,2009,blanc,1st owner,29625,
Honda Activa [2000-2015],6000,2006,blanc,2nd owner,35000,
Hero Hunk,35000,2016,blanc,1st owner,32000,
Honda Activa 125,30000,2014,blanc,1st owner,20000,
Bajaj Discover 110,15000,2007,blanc,1st owner,70000,
Hero Xtreme [2013-2014],45000,2013,blanc,1st owner,57000,
TVS Victor GLX,18000,2005,blanc,1st owner,11000,
Bajaj Pulsar NS200,85000,2018,blanc,1st owner,17500,
Honda Aviator,30000,2014,blanc,1st owner,7000,
Bajaj Platina 100,40000,2018,blanc,1st owner,17500,
TVS Sport,34000,2018,blanc,1st owner,25000,
Hero Honda Passion Plus,8000,2003,blanc,1st owner,53500,
Bajaj V15,70000,2018,blanc,1st owner,15000,
Honda Dio,50000,2016,blanc,1st owner,8000,
Honda Dream Yuga,35000,2015,blanc,1st owner,39448,
Hero Honda Splendor Plus,20000,2006,blanc,1st owner,75000,
Bajaj Pulsar 150,50000,2012,blanc,1st owner,28000,
Bajaj Discover 135,37000,2008,blanc,1st owner,62000,
Honda Livo,69000,2018,blanc,1st owner,12000,
Hero Honda Splendor NXG,28000,2012,blanc,1st owner,49999,
Bajaj Discover 125,25000,2011,blanc,1st owner,70000,
Yamaha FZ V 2.0,60000,2018,blanc,1st owner,25000,
Yamaha SZ-S,50000,2014,blanc,1st owner,20000,
Royal Enfield Thunderbird 350,135000,2016,blanc,1st owner,4500,
Bajaj Discover 125 M,30000,2014,blanc,1st owner,45000,
Yamaha FZ S [2012-2016],60000,2014,blanc,1st owner,68000,
Honda Activa [2000-2015],23000,2009,blanc,1st owner,95000,
Bajaj Xcd,20000,2009,blanc,1st owner,16000,
Bajaj Avenger Street 160,80000,2019,blanc,1st owner,5000,
Royal Enfield Electra 5 S,99000,2006,blanc,2nd owner,36000,
TVS Apache RTR 200 4V,90000,2018,blanc,1st owner,70000,
Hero Honda Splendor Plus,20000,2005,blanc,1st owner,27370,
Hero Glamour 125,50000,2017,blanc,1st owner,8600,
TVS Victor GLX,27000,2002,blanc,1st owner,49000,
Honda Grazia,60000,2018,blanc,1st owner,16000,
Bajaj Pulsar 150 [2001-2011],12000,2007,blanc,2nd owner,100000,
Hero Xtreme 2014,50000,2014,blanc,1st owner,10000,
Hero Pleasure,20000,2012,blanc,2nd owner,30000,
Hero Passion XPro,45000,2018,blanc,1st owner,7000,
Hero Super Splendor,40000,2013,blanc,1st owner,68000,
Yamaha FZ S [2012-2016],45000,2016,blanc,2nd owner,20000,
Honda Activa [2000-2015],25000,2015,blanc,1st owner,25000,
Hero Glamour FI,75000,2019,blanc,1st owner,8900,
Hero Honda Passion Plus,25000,2007,blanc,1st owner,70000,
Hero Splendor Plus,25000,2006,blanc,2nd owner,40000,
Hero Xpulse 200,100000,2019,blanc,1st owner,8500,
Honda CB Unicorn 150,30000,2012,blanc,1st owner,32000,
Bajaj Discover 135,25000,2010,blanc,1st owner,55000,
Hero Honda Splendor,10000,2006,blanc,1st owner,75000,
Hero Honda CD Deluxe,25000,2008,blanc,3rd owner,65000,
Royal Enfield Electra Twinspark,120000,2016,blanc,1st owner,345000,
Honda Dream Neo,42000,2014,blanc,1st owner,21000,
Hero Maestro,30000,2013,blanc,1st owner,60000,
Honda CBR150 R,77000,2014,blanc,1st owner,38000,
Honda CB Unicorn Dazzler,25000,2011,blanc,1st owner,40000,
TVS Apache [2006],15000,2006,blanc,1st owner,40000,
Hero Passion XPro,25000,2013,blanc,1st owner,25000,
Honda Activa 5G,50000,2018,blanc,1st owner,25000,
Honda Activa i,30000,2014,blanc,1st owner,25000,
TVS Apache RTR 200 4V,125000,2019,blanc,1st owner,3000,
Hero Honda CBZ extreme,35000,2011,blanc,1st owner,28000,
Suzuki Gixxer [2014-2018],45000,2015,blanc,1st owner,40000,
Hero Xpulse 200,98000,2019,blanc,1st owner,8500,
Bajaj Pulsar 150,75000,2017,blanc,1st owner,30000,
Bajaj Pulsar AS150,55000,2017,blanc,2nd owner,20000,
Bajaj Platina 100,25000,2013,blanc,1st owner,30000,
Honda CB Twister,70000,2014,blanc,1st owner,12566,
Suzuki SlingShot,24000,2011,blanc,1st owner,17000,
TVS Apache RTR 160,70000,2018,blanc,1st owner,17000,
Bajaj V12,45000,2017,blanc,1st owner,35000,
Hero Karizma 2014,25000,2015,blanc,1st owner,40000,
Yamaha YZF R15 V3,170000,2019,blanc,1st owner,1400,
Yamaha Fascino 110,38000,2016,blanc,1st owner,37000,
Honda CB Unicorn 160,45000,2015,blanc,1st owner,15000,
Yamaha Gladiator,15000,2009,blanc,1st owner,46000,
Hero Honda Glamour,45000,2012,blanc,1st owner,75000,
Bajaj Discover 100,22000,2014,blanc,1st owner,14289,
Mahindra Gusto,30000,2015,blanc,2nd owner,20000,
Royal Enfield Thunderbird 350,100000,2012,blanc,1st owner,28000,
Royal Enfield Classic 350,100000,2014,blanc,1st owner,19000,
Bajaj Pulsar 150,60000,2017,blanc,1st owner,28450,
Royal Enfield Electra Twinspark,100000,2014,blanc,1st owner,31500,
Bajaj Pulsar 150,40000,2016,blanc,1st owner,28000,
Bajaj Pulsar 150,21000,2007,blanc,1st owner,100000,
Hero HF Deluxe,40000,2018,blanc,1st owner,16000,
Honda Activa [2000-2015],25000,2007,blanc,1st owner,17860,
Yamaha FZ S [2012-2016],45000,2015,blanc,1st owner,24000,
Bajaj Avenger Cruise 220,75000,2016,blanc,1st owner,10950,
Honda Dio,45000,2017,blanc,1st owner,35850,
Honda Activa i [2016-2017],35000,2016,blanc,1st owner,29000,
Royal Enfield Bullet 350 [2007-2011],60000,2001,blanc,2nd owner,4000,
Yamaha FZ V 2.0,60000,2016,blanc,1st owner,45420,
Royal Enfield Classic 350,130000,2018,blanc,2nd owner,35000,
Honda CB Shine SP,42000,2017,blanc,1st owner,19800,
Bajaj V15,76000,2018,blanc,1st owner,23000,
Hero CBZ,40000,2014,blanc,1st owner,35000,
Hero Splendor Plus,65000,2018,blanc,1st owner,7500,
Bajaj Discover 100 T,20000,2013,blanc,1st owner,20000,
Honda CB Hornet 160R,75000,2016,blanc,1st owner,72000,
Honda CB Hornet 160R,70000,2018,blanc,1st owner,7000,
TVS Apache RTR 160 4V,105000,2019,blanc,1st owner,6000,
Honda CB Shine SP,50000,2017,blanc,1st owner,34300,
Royal Enfield Classic 350,120000,2017,blanc,1st owner,7199,
Bajaj Pulsar 180,25000,2011,blanc,1st owner,43000,
TVS XL 100,30000,2017,blanc,1st owner,8000,
Hero Super Splendor,50000,2017,blanc,1st owner,9999,
Hero Honda CBZ extreme,25000,2007,blanc,1st owner,80000,
Bajaj Pulsar 180,50000,2014,blanc,1st owner,30000,
Bajaj Discover 150,35000,2015,blanc,1st owner,12000,
Bajaj Pulsar 180,30000,2009,blanc,1st owner,17500,
Honda Shine,37000,2016,blanc,1st owner,45000,
Honda CB Unicorn 150,42000,2013,blanc,1st owner,38000,
Royal Enfield Himalayan,119000,2016,blanc,1st owner,19800,
Kawasaki Ninja 650 [2018-2019],300000,2011,blanc,1st owner,12000,
Royal Enfield Classic 350,130000,1993,blanc,2nd owner,10000,
Hero Honda Passion Plus,22000,2008,blanc,2nd owner,85000,
Hero Honda Splendor Plus,15000,2007,blanc,1st owner,70000,
Benelli TNT 25,160000,2017,blanc,1st owner,2009,
Royal Enfield Thunderbird 500X,185000,2018,blanc,1st owner,1500,
Royal Enfield Continental GT [2013 - 2018],110000,2014,blanc,1st owner,12077,
KTM RC 200,150000,2017,blanc,1st owner,20000,
Bajaj Pulsar 220F,45000,2011,blanc,1st owner,40000,
Bajaj Avenger Street 220,75000,2018,blanc,1st owner,12000,
Honda Activa 125 [2016-2017],50000,2017,blanc,1st owner,27000,
Honda Shine,30000,2013,blanc,1st owner,93000,
Bajaj Discover 150F,30000,2015,blanc,1st owner,12000,
Bajaj Pulsar 150 [2001-2011],22000,2011,blanc,1st owner,36000,
Hero Karizma ZMR,75000,2015,blanc,1st owner,11000,
Honda Dream Yuga,45000,2017,blanc,1st owner,26000,
Hero Glamour 125,35000,2014,blanc,1st owner,450000,
Honda Activa [2000-2015],35000,2012,blanc,1st owner,29000,
Bajaj CT 100,25000,2017,blanc,1st owner,45000,
Honda CB Hornet 160R,70000,2017,blanc,1st owner,13000,
Hero CD Dawn,10000,2005,blanc,1st owner,48000,
Royal Enfield Classic Gunmetal Grey,180000,2018,blanc,1st owner,5814,
Bajaj Discover 100,24000,2014,blanc,1st owner,31000,
Honda Shine,42000,2017,blanc,1st owner,25000,
TVS Max DLX,26000,2002,blanc,2nd owner,28000,
Honda Dio,60000,2018,blanc,1st owner,11000,
Bajaj Pulsar 180,72000,2017,blanc,1st owner,7850,
